Species,Genome Size (bp)
Sewage-associated circular DNA molecule-2,1169
Circovirus-like genome DHCV-1,1173
Lake Sarah-associated circular molecule 8,1182
Pepper leaf curl Yunnan virus satellite DNA beta,1196
Begomovirus-associated DNA-III,1209
Ctenophore-associated circular genome 1,1210
Ctenophore-associated circular genome 4,1210
Lake Sarah-associated circular molecule 1,1217
Satellite tobacco necrosis virus C,1221
Ctenophore-associated circular genome 3,1223
Chili leaf curl Bhatinda betasatellite,1224
Cassava satellite virus,1228
Satellite tobacco mosaic virus,1239
Primnoa pacifica coral associated circular virus,1240
Callinectes ornatus blue crab associated circular virus,1241
Coconut foliar decay alphasatellite 3,1252
Betasatellite agerabueaense,1259
Coconut foliar decay alphasatellite 7,1259
Honeysuckle yellow vein mosaic betasatellite,1262
Coconut foliar decay alphasatellite 6,1264
Coconut foliar decay alphasatellite 4,1276
Coconut foliar decay alphasatellite 2,1277
Porcine faeces associated circular DNA molecule-1,1280
Coconut foliar decay alphasatellite,1291
Cuban alphasatellite 1,1292
Begomovirus-associated alphasatellite sp.,1293
Coconut foliar decay alphasatellite 5,1295
Whitefly associated Puerto Rico alphasatellite 1,1300
Okra leaf curl betasatellite,1305
Gossypium mustelinum symptomless alphasatellite,1306
Okra yellow vein disease associated sequence,1307
Pedilanthus leaf curl alphasatellite,1311
Gossypium davidsonii symptomless alphasatellite,1315
Bhendi yellow vein mosaic virus-associated alphasatellite,1316
Malvastrum yellow vein Chitwan betasatellite,1317
Ageratum yellow vein China betasatellite,1323
Euphorbia yellow mosaic virus associated DNA 1,1331
TYLCCNV-[Y322] satellite DNA beta,1331
Emilia yellow vein Fujian betasatellite,1333
Papaya leaf curl betasatellite-Panipat 6 [India:Panipat:Papaya:2008],1333
Melon chlorotic mosaic alphasatellite,1334
Tomato yellow leaf curl Shandong betasatellite,1334
Tomato yellow leaf curl China betasatellite,1335
Ageratum leaf curl betasatellite,1335
Cucurbit yellow mosaic alphasatellite,1335
Tomato leaf curl Anand alphasatellite,1336
Honeysuckle yellow vein beta-[Japan:Fukui:2001],1336
Tomato yellow leaf curl Thailand betasatellite,1337
Tomato yellow leaf curl Yunnan betasatellite,1337
Honeysuckle yellow vein mosaic disease associated satellite DNA beta-[Nara],1337
Emilia yellow vein virus-associated DNA beta,1337
Cardiospermum yellow leaf curl betasatellite,1338
Tobacco leaf curl Patna betasatellite,1338
Malachra yellow vein mosaic virus-associated satellite DNA beta,1339
Sida yellow vein Vietnam virus satellite DNA beta,1340
Tomato leaf curl China betasatellite,1341
Tomato leaf curl Malaysia betasatellite,1342
Erectites yellow mosaic virus satellite DNA beta,1342
Eclipta yellow vein alphasatellite,1342
Tomato begomovirus satellite DNA beta,1342
Cotton leaf curl Multan DNA betasatellite - [India:Bahraich 03:Kenaf:2006],1343
Betasatellite alternantherae,1344
Malvastrum leaf curl Guangdong betasatellite,1344
Honeysuckle yellow vein betasatellite,1344
Tobacco leaf chlorosis betasatellite,1345
Sida yellow mosaic China satellite DNA beta,1346
Okra leaf curl Mali virus satellite DNA beta,1346
Honeysuckle yellow vein mosaic disease associated satellite DNA beta,1346
Croton yellow vein mosaic betasatellite,1346
Tomato leaf curl Laguna betasatellite,1346
Lindernia anagallis yellow vein betasatellite,1346
Pea leaf distortion betasatellite,1347
Croton yellow vein mosaic alphasatellite,1347
Ludwigia yellow vein virus-associated DNA beta,1347
Ageratum yellow vein betasatellite,1347
Malvastrum yellow vein betasatellite,1348
Tomato leaf curl Laos betasatellite,1348
Hedyotis yellow mosaic betasatellite,1348
Rose leaf curl betasatellite,1349
Tomato leaf curl Patna betasatellite,1349
Tomato leaf curl Philippine betasatellite,1349
Tomato leaf curl Nepal betasatellite,1350
Malvastrum yellow vein Yunnan virus satellite DNA beta,1350
Cotton leaf curl Multan virus satellite U36-1,1350
Tomato yellow spot alphasatellite 2,1350
Okra enation leaf curl alphasatellite,1350
Papaya leaf curl China betasatellite [China:Hainan:2014],1350
Tobacco leaf curl Japan betasatellite,1350
Sunflower leaf curl Karnataka alphasatellite,1350
Okra leaf curl Oman betasatellite,1351
Ageratum yellow vein Sri Lanka betasatellite,1351
Betasatellite ageraflavinvolutionis,1351
Cleome leaf crumple alphasatellite,1351
Okra leaf curl betasatellite [India:Munthal:EL38:2006],1352
Tomato leaf curl Yemen betasatellite,1352
Ludwigia leaf distortion betasatellite,1353
Malachra yellow vein mosaic betasatellite,1353
Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],1353
Bhendi yellow vein betasatellite,1353
Tomato leaf curl Ranchi betasatellite,1353
Luffa begomovirus betasatellite,1353
Ageratum yellow vein India betasatellite,1353
Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006],1354
Tomato yellow leaf curl Yunnan alphasatellite,1354
Bitter gourd leaf curl betasatellite,1354
Tobacco curly shoot betasatellite,1354
Malvastrum leaf curl betasatellite,1354
Cotton leaf curl Burewala betasatellite,1354
Zinnia leaf curl virus-associated DNA beta,1354
Mesta yellow vein mosaic virus-associated DNA beta,1354
Siegesbeckia yellow vein Guangxi virus satellite DNA beta,1355
Ludwigia leaf distortion betasatellite [India:Bahraich:Hibiscus:2006],1355
Hibiscus vein enation betasatellite,1355
Sida yellow vein virus satellite DNA beta,1355
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09],1356
Tomato yellow leaf curl Vietnam betasatellite,1356
Eupatorium yellow vein betasatellite,1356
Tomato yellow dwarf disease associated satellite DNA beta-[Kochi],1356
Cotton leaf curl Bangalore betasatellite,1356
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09],1356
Tomato leaf curl Java betasatellite,1356
Tobacco leaf curl disease associated sequence,1356
Malvastrum yellow mosaic virus satellite DNA beta,1357
Mimosa yellow leaf curl virus satellite DNA beta,1358
Siegesbeckia yellow vein virus-associated DNA beta,1358
Tobacco leaf curl betasatellite-[Pakistan:Multan:Pedilanthus:2004],1358
Mesta yellow vein mosaic alphasatellite,1358
Radish leaf curl betasatellite,1358
Tomato leaf curl Karnataka betasatellite,1358
Luffa puckering and leaf distortion-associated DNA beta,1358
Rhynchosia yellow mosaic betasatellite,1359
Sida yellow vein China alphasatellite,1359
Siegesbeckia yellow vein betasatellite,1359
Whitefly associated Guatemala alphasatellite 1,1359
Eupatorium yellow vein mosaic betasatellite,1359
Synedrella leaf curl alphasatellite,1359
Cotton leaf curl Gezira betasatellite,1360
Ageratum yellow vein Singapore alphasatellite,1360
Hollyhock yellow vein virus associated symptomless alphasatellite,1360
Mungbean yellow mosaic India virus associated betasatellite [India: Faizabad: Cow Pea:2012],1360
Tomato leaf curl Java virus-[Ageratum] satellite DNA,1360
Vernonia yellow vein Fujian alphasatellite,1361
Tomato leaf curl Yunnan betasatellite,1361
Pepper leaf curl virus satellite DNA beta,1361
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta,1361
Tomato leaf curl Virudhunagar alphasatellite,1361
Bhindi yellow vein alphasatellite,1361
Cotton leaf curl Multan betasatellite,1361
Tomato leaf curl Hajipur betasatellite,1362
Ludwigia leaf distortion betasatellite [India:Amadalavalasa:Hibiscus:2007],1362
Tomato leaf curl Joydebpur betasatellite [India/Jaunpur/Chilli/2007],1362
Leucas zeylanica yellow vein virus satellite DNA beta,1363
Vernonia yellow vein betasatellite,1364
Ageratum yellow vein alphasatellite,1364
Papaya leaf curl alphasatellite,1364
Guar leaf curl alphasatellite,1364
Tomato leaf curl Gandhinagar betasatellite,1365
Ageratum yellow vein China alphasatellite,1365
Sida leaf curl virus-associated DNA beta,1365
Vernonia crinkle betasatellite,1365
Cotton leaf curl Burewala alphasatellite,1366
Mirabilis leaf curl betasatellite,1367
Potato apical leaf curl disease-associated satellite DNA beta,1367
Chayote yellow mosaic Benin betasatellite,1367
Tomato yellow spot alphasatellite,1367
Tobacco curly shoot alphasatellite,1367
Codiaeum leaf curl betasatellite,1369
Tomato yellow leaf curl China alphasatellite,1369
Chilli leaf curl Multan alphasatellite,1369
Tomato leaf curl Joydebpur betasatellite,1370
Bhendi yellow vein mosaic alphasatellite,1370
Whitefly associated Guatemala alphasatellite 2,1370
Gossypium darwinii symptomless alphasatellite,1370
Ageratum yellow vein Pakistan alphasatellite,1370
Tomato yellow leaf curl Rajasthan betasatellite,1371
Chili leaf curl Sri Lanka betasatellite,1371
Tomato leaf curl alphasatellite,1371
Kenaf leaf curl betasatellite,1371
Tomato yellow leaf curl betasatellite,1371
Papaya leaf curl betasatellite,1372
Tomato leaf curl New Delhi alphasatellite,1372
Sida yellow vein Vietnam alphasatellite,1372
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005],1373
Sida yellow vein alphasatellite,1374
Tomato black ring virus satellite RNA,1374
Tomato leaf curl Pakistan betasatellite,1374
Tomato leaf curl betasatellite-Panipat 7 [India:Panipat:Papaya:2008],1375
Cotton leaf curl Gezira alphasatellite 3,1375
Chilli leaf curl India alphasatellite,1375
Hibiscus leaf curl alphasatellite,1375
Cotton leaf curl Multan alphasatellite,1376
Vernonia yellow vein Fujian betasatellite,1377
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,1377
Tomato leaf curl Bangalore betasatellite,1377
Anguilla anguilla circovirus,1378
Colecusatellite agerati,1378
Mimosa yellow leaf curl virus-associated DNA 1,1378
Nanovirus-like particle,1379
French bean leaf curl betasatellite-Kanpur,1379
Tobacco leaf curl PUSA alphasatellite,1379
Cowpea severe leaf curl-associated DNA beta,1379
Betasatellite andrographis,1379
Tomato leaf curl virus-Pune-associated DNA beta,1380
Ageratum conyzoides symptomless alphasatellite,1381
Tomato leaf curl Bangladesh betasatellite,1383
Ageratum leaf curl Cameroon alphasatellite,1383
Tomato leaf curl Pakistan alphasatellite,1384
Sida leaf curl alphasatellite,1384
Malvastrum yellow mosaic alphasatellite,1385
Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006],1385
Parthenium leaf curl alphasatellite,1386
Cotton leaf curl Gezira alphasatellite,1387
Sida yellow vein mosaic alphasatellite,1387
Chili leaf curl betasatellite,1387
Okra leaf curl alphasatellite,1388
Ageratum yellow vein India alphasatellite,1389
Corchorus yellow vein mosaic betasatellite,1390
Chilli leaf curl alphasatellite,1391
Tomato leaf curl Cameroon alphasatellite,1392
Betasatellite ageracameroonense,1393
Verbesina encelioides leaf curl alphasatellite,1395
Cotton leaf curl Lucknow alphasatellite,1396
Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09],1398
Tomato leaf curl Togo betasatellite-[Togo:2006],1399
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09],1401
Mirabilis leaf curl India virus associated betasatellite,1406
Botrytis cinerea hypovirus 1 satellite-like RNA-S,1413
Ash gourd yellow vein mosaic alphasatellite,1413
Malvastrum yellow mosaic Cameroon alphasatellite,1416
Tomato leaf curl betasatellite,1424
Blackcurrant reversion virus satellite RNA,1432
Cotton leaf curl betasatellite,1436
Ageratum conyzoides associated symptomless alphasatellite,1437
Bovine faeces associated circular DNA molecule 1,1474
Cassava mosaic Madagascar alphasatellite,1478
Dragonfly associated alphasatellite,1479
Sorghum mastrevirus associated alphasatellite,1531
Chusan Island toad virus 1,1547
Lake Sarah-associated circular virus-13,1587
Molossus molossus circovirus 1,1587
Termite HDV-like virus,1591
Sicyonia brevirostris associated circular virus,1600
Sewage-associated circular DNA virus-15,1605
Fish HDV-like virus,1606
Lake Sarah-associated circular virus-24,1627
Dragonfly larvae associated circular virus-8,1628
Lake Sarah-associated circular virus-20,1632
Fiddler Crab associated circular virus,1635
Odonata-associated circular virus-3,1639
Lake Sarah-associated circular virus-22,1660
Valinorvirus arda,1664
Acartia tonsa copepod circovirus,1670
Rodent deltavirus,1671
Pyricularia oryzae ourmia-like virus 2,1671
Circovirus daga,1674
hepatitis D virus 1,1676
hepatitis D virus 4,1676
Lake Sarah-associated circular virus-37,1677
Shahe narna-like virus 5,1684
hepatitis D virus 2,1684
Hepatitis delta virus,1687
Bat associated cyclovirus 6,1688
Picobirnavirus dog/KNA/2015,1689
Lake Sarah-associated circular molecule 10,1693
Human stool-associated circular virus NG13,1699
Dragonfly larvae associated circular virus-6,1700
Penicillium digitatum narna-like virus 1,1702
Cyclovirus bat/USA/2009,1703
Calfel virus LSF31_cyc420,1704
Torulaspora delbrueckii dsRNA Mbarr-1 killer virus,1705
Avian HDV-like agent,1706
Picobirnavirus green monkey/KNA/2015,1707
Lake Sarah-associated circular virus-4,1709
Cyclovirus SL-108277,1710
Snake deltavirus F18-5,1711
Dragonfly associated cyclovirus 3,1711
Odonata-associated circular virus-11,1712
Ctenophore-associated circular virus 4,1714
Cyclovirus roach,1719
Dragonfly larvae associated circular virus-9,1722
Ctenophore-associated circular virus 3,1722
Cyclovirus PK5006,1723
Indian encephalitis associated cyclovirus,1723
WigFec circovirus 1,1723
Chifec virus UA13_1727,1728
Chinese fire belly newt virus 1,1735
Circovirus-like genome SAR-A,1739
Odonata-associated circular virus-2,1740
Cyclovirus PK5222,1740
Bat associated cyclovirus 3,1741
Chifec virus UA13_1817,1741
Avon-Heathcote Estuary associated circular virus 17,1741
Dragonfly associated cyclovirus 1,1742
Dragonfly associated cyclovirus 4,1742
Army ant associated cyclovirus 3,1745
Bat associated cyclovirus 8,1746
Cyclovirus Chimp11,1750
Cyclovirus PKgoat11/PAK/2009,1751
Rodent associated cyclovirus 1,1753
Mink circovirus,1753
Bat associated cyclovirus 12,1755
Dragonfly associated cyclovirus 7,1757
Rodent associated cyclovirus 2,1758
Porcine circovirus 1,1758
Dipodfec virus UA04Rod_5913,1758
Chifec virus UA15_35,1758
Mosquito circovirus,1759
Cyclovirus PK5510,1759
Bat associated circovirus 3,1760
Odonata-associated circular virus-14,1760
Cyclovirus NGchicken8/NGA/2009,1760
Cyclovirus NGchicken15/NGA/2009,1760
Bat associated cyclovirus 9,1760
Dragonfly associated cyclovirus 6,1761
Circovirus siksparnis,1761
Army ant associated cyclovirus 2,1762
Lake Sarah-associated circular virus-21,1762
Avon-Heathcote Estuary associated circular virus 1,1763
Labidocera aestiva circovirus,1764
Dragonfly associated cyclovirus 8,1764
Army ant associated cyclovirus 5,1766
Calfel virus LSF31_cyc880,1767
Porcine circovirus type 1/2a,1767
Bat associated circovirus 4,1767
Valinorvirus eriador,1768
Porcine circovirus 2,1768
Arboreal ant associated circular virus 1,1769
Avon-Heathcote Estuary associated circular virus 21,1769
Porcine circovirus 4,1770
Bat associated cyclovirus 2,1771
Feline cyclovirus,1773
Lake Sarah-associated circular virus-23,1775
Lake Sarah-associated circular virus-25,1776
Penaeus monodon circovirus VN11,1777
Chicken associated cyclovirus 2,1778
Cyclovirus PK5034,1780
Swan circovirus,1783
Circovirus-like genome DHCV-5,1784
Dragonfly associated cyclovirus 5,1784
Mongoose-associated cyclovirus,1786
Army ant associated cyclovirus 4,1786
Elk circovirus Banff/2019,1787
Equine circovirus 1,1788
Entamoeba-associated CRESS DNA virus 2,1788
Cyclovirus TsCyV-1_JP-NUBS-2014,1789
Wenling narna-like virus 5,1790
Bat circovirus POA/2012/VI,1790
Human associated cyclovirus 10,1790
Wenling narna-like virus 4,1793
Army ant associated cyclovirus 8,1793
Cyclovirus NG12,1794
Cyclovirus NG14,1795
Bat associated circovirus 2,1798
Farfantepenaeus duorarum pink shrimp associated circular virus,1799
Saccharomyces cerevisiae killer virus M1,1801
Lake Sarah-associated circular virus-50,1802
Army ant associated cyclovirus 6,1803
Chifec virus UA13_1880,1803
Circovirus-like genome RW-C,1803
Sewage-associated circular DNA virus-12,1805
Molossus molossus circovirus 4,1805
Dipodfec virus UA23Rod_1805,1805
robinz virus RP_526,1806
Avon-Heathcote Estuary associated circular virus 9,1806
Bat associated cyclovirus 13,1809
Chifec virus UA13_1887,1810
Varroa mite associated virus 1,1811
Chifec virus UA13_1800,1812
Circovirus pichong,1812
Penicillium aurantiogriseum partiti-like virus,1813
Petrochirus diogenes giant hermit crab associated circular virus,1815
Circovirus-like genome BBC-A,1815
Bat faeces associated cyclovirus 4,1818
Wilkie partiti-like virus 2,1819
Lake Sarah-associated circular virus-18,1821
Goose circovirus,1821
WigFec circovirus 2,1821
Avon-Heathcote Estuary associated circular virus 29,1825
Artemia melana sponge associated circular genome,1826
Circovirus-like genome DCCV-9,1828
robinz virus RP_736,1829
Dragonfly cyclicusvirus,1831
Human cyclovirus VS5700009,1832
Circovirus-like genome SAR-B,1833
Avon-Heathcote Estuary associated circular virus 4,1835
Pacific flying fox associated cyclovirus-3,1838
Cyclovirus PKgoat21/PAK/2009,1838
Cyclovirus PKbeef23/PAK/2009,1838
Cyclovirus Equ1,1843
Bat cyclovirus GF-4c,1844
Bat associated cyclovirus 11,1844
Duck faeces associated circular DNA virus 2,1845
robinz virus RP_1170,1846
Ctenophore-associated circular virus 1,1846
Tadarida brasiliensis associated cyclovirus 1,1848
Werosea circovirus,1853
Ctenophore-associated circular virus 2,1853
Duck faeces associated circular DNA virus 3,1856
Cyclovirus VN,1856
Sierra dome spider associated circular virus 2,1860
Calfel virus LSF17_cyc102,1860
Bat associated circovirus 1,1862
Circovirus-like genome DCCV-3,1864
Avon-Heathcote Estuary associated circular virus 2,1865
Cyclovirus ZM36a,1865
Cyclovirus TN25,1867
Gyrovirus 11,1873
Circovirus sp.,1873
Callinectes sapidus associated circular virus,1876
Entamoeba-associated CRESS DNA virus 4,1876
Mongoose-associated circovirus,1879
Bat associated circovirus 6,1880
robinz virus RP_584,1882
Ecklonia radiata-associated virus 3,1886
Lake Sarah-associated circular virus-16,1888
Spider associated circular virus 3,1889
Beaked whale circovirus,1889
Odonata-associated circular virus-19,1890
Mytilus sp. clam associated circular virus,1894
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,1895
Calfel virus LSF45_cir359,1895
Dragonfly cyclovirus 2,1896
Capybara associated cyclovirus 1,1897
Lake Sarah-associated circular virus-12,1898
Raven circovirus,1898
Sea turtle tornovirus 1,1898
Sewage-associated circular DNA virus-4,1899
Dragonfly associated cyclovirus,1899
Bat associated circovirus 9,1900
Porcine serum associated circular DNA virus 2,1900
Aiptasia sp. sea anemone associated circular virus,1901
McMurdo Ice Shelf pond-associated circular DNA virus-7,1901
Duck associated cyclovirus 1,1902
Longjawed orbweaver circular virus 1,1905
Giant panda circovirus 2,1908
Army ant associated cyclovirus 9,1910
Lake Sarah-associated circular virus-46,1912
Odonata-associated circular virus-10,1914
Dragonfly orbiculatusvirus,1915
Lake Sarah-associated circular virus-10,1915
robinz virus RP_259,1916
Pacific flying fox associated cyclovirus-2,1916
Eumops bonariensis associated circovirus 1,1919
Odonata-associated circular virus-18,1919
Pacific flying fox associated cyclovirus-1,1923
Giant panda circovirus 4,1928
robinz virus RP_620,1930
Odonata-associated circular virus-9,1931
Lake Sarah-associated circular virus-19,1931
Lake Sarah-associated circular virus-9,1932
Chimpanzee stool avian-like circovirus Chimp17,1935
Soft spider associated circular virus 1,1937
Avian-like circovirus,1939
robinz virus RP_493,1939
Avon-Heathcote Estuary associated circular virus 23,1942
Human fecal virus Jorvi3,1942
Bat associated circovirus 7,1944
Northern red-backed vole stool-associated circular virus 11,1944
Canary circovirus,1952
Farfantepenaeus duorarum circovirus,1955
Bat associated cyclovirus 17,1956
Barbel circovirus,1957
Dragonfly larvae associated circular virus-5,1960
Finch circovirus,1962
Lake Sarah-associated circular virus-15,1963
European catfish circovirus,1966
Wolvfec circovius,1967
Chicken virus mg5_2876,1970
Garrulus glandarius associated circular virus 1,1971
Bat associated cyclovirus,1971
Avon-Heathcote Estuary associated circular virus 7,1976
Avon-Heathcote Estuary associated circular virus 10,1981
Zebra finch circovirus,1982
Millipede associated circular virus 1,1987
Muscovy duck circovirus,1988
Penguin circovirus,1988
Odonata-associated circular virus-1,1989
Avon-Heathcote Estuary associated circular virus 16,1990
Odonata-associated circular virus-13,1991
Duck circovirus,1991
Cybaeus spider associated circular virus 1,1991
Beak and feather disease virus,1993
Spinybacked orbweaver circular virus 1,1995
Mulard duck circovirus,1996
Fly associated circular virus 5,1997
Rhinolophus associated gemykibivirus 2,1998
Gammarus sp. amphipod associated circular virus,1999
Porcine circovirus 3,2000
Llama faeces associated circular DNA virus-1,2002
Torque teno midi virus 3,2002
Torque teno ocelot virus,2003
Avon-Heathcote Estuary associated circular virus 24,2007
Fly associated circular virus 7,2010
Torque teno felis virus-Fc-TTV2,2012
Hubei mosquito virus 3,2012
Werosea cyclovirus,2015
Odonata-associated circular virus-16,2016
Torque teno felis virus 2,2019
Gyrovirus Tu243,2020
Lake Sarah-associated circular molecule 12,2022
Lake Sarah-associated circular virus-36,2023
Army ant associated cyclovirus 1,2024
McMurdo Ice Shelf pond-associated circular DNA virus-5,2026
Torque teno Arctocephalus gazella virus 1,2028
Circovirus-like genome DHCV-3,2029
Odonata-associated circular virus-17,2029
Gyrovirus 4,2034
Gull circovirus,2035
Columbid circovirus,2037
Lake Sarah-associated circular virus-48,2039
Torque teno felis virus-Fc-TTV1,2039
Giant house spider associated circular virus 2,2040
Sewage-associated circular DNA virus-16,2042
Odonata-associated circular virus-4,2046
Ecklonia radiata-associated virus 5,2046
Feline stool-associated circular virus KU14,2046
Ursus americanus circovirus,2054
Fusarium poae narnavirus 2,2054
Capybara genomovirus 10,2054
Golden silk orbweaver associated circular virus 1,2054
Molossus molossus circovirus 3,2055
Didemnum sp. Sea Squirt associated virus,2061
Starling circovirus,2063
Canine circovirus,2063
Torque teno felis virus,2064
Culex Tetra-like virus,2066
Dragonfly circularisvirus,2067
Bat associated circovirus 8,2069
Panicum ecklonii-associated virus,2070
Circovirus-like genome RW-D,2072
Hubei diptera virus 15,2073
Northern red-backed vole stool-associated circular virus 117,2075
Dipodfec virus UA04Rod_4537,2076
Sewage-associated circular DNA virus-17,2077
